processed_tweet,class
     queer  gaywad,0
    alsarabsss  hes a beaner smh you can tell hes a mexican,0
    you re fucking gay  blacklisted hoe  holding out for  tehgodclan anyway ,0
   lmfaoooo i hate black people  this is why there s black people and niggers,0
    at least i m not a nigger    lmfao,0
    ariza is a snake and a coward  but at least he isn t a cripple like your hero roach lmaoo,0
   drakes new shoes that will be released by nike jordan     yes  there s glitter on the shoes      dudes a fag,0
    gerryshalloweenparty  halloween was yesterday stupid nigger,0
    is bored supposed to be cute  you faggot   sometimes,0
    lassen cc   the coach wants me  i feel it youll get more my nig no doubt,0
   jackies a retard  blondeproblems  at least i can make a grilled cheese ,0
   stacey dash won            baddest bitch evaaaa,0
 don t worry about the nigga you see  worry about the nigga you don t see    dat s da nigga fuckin yo bitch  ,0
 hey go look at that video of the man that found the kidnapped girls in ohio        what a nigger     shitmybosssays,0
 let s kill cracker babies    wtf did i just hear         wow ,0
 my grandma used to call me a porch monkey all the time    come to think of it she did refer to a broken bottle as a nigger knife           ,0
 nah its you                                        yo i thought some  photoshopped my face on that faggot smmfh   i hate yall  ,0
 our people   now is the time for the aryan race   stand up and say  no more   before the mongerls turn the world into a ghetto slum      ,0
 these sour apple bitter bitches  i m not fuckin wit em ,0
 we hate niggers  we hate faggots and we hate spics  kkk rally,0
 we re out here  and we re queer              hut  we like it in our butt  ,0
 who the fuck you callin jiggaboo  nigga   ,0
 why people think gay marriage is okay is beyond me  sorry i don t want my future son seeing   fags walking down the street holding hands an,0
 you ain t gunna do shit spear chucker ,0
 you ol trout mouth ass bitch   deeeeaaaadd,0
 ayo i even kill handicapped and crippled bitches look at my scalp real close and you ll see triple sixes ,0
 fuck you you pussy ass hater go suck a dick and die quick    someone  to me  in youtube comments  i think we d be good friends ,0
 on my way to fuck your bitch in the name of the lord    mr  race,0
 poor whitey  ,0
 azmonsoon lot of rain  too bad it wasn t enough to wash away the teabagger racist white trash in the state   tcot  teaparty  azflooding,0
 california is full of white trash,0
 california is full of white trash who moved from  oklahoma,0
 dtla is trash because of non europeans are allowed to live there ,0
 dutch farmers are white trash ,0
 dutch people who live outside of  newyorkcity are all white trash ,0
 iowa is full of white trash,0
 jesuschrist was straight gt  that s why the  faggots killed him   period  sonofgod gt ,0
 minnesota is full of white trash,0
 reasonswecantbetogether if u was talkin to my nig or smashed da homies,0
 rebelscience       is using an actual woman as a genetic engineering lab for  all natural clones       or something        faggot  rome,0
